NeighborID,Name,LayoutID,Info,
N_001,근육뇌,L_01,"계속 역기를 내려놓으며 쿵쿵거리고, 운동하며 기합 소리를 낸다.",
N_002,부부싸움,L_02,한 번 싸우기 시작하면 밤새도록 싸운다.,
N_003,게임 방송인,L_03,"스피커를 크게 틀어놓고, 멈추지 않고 떠든다.",
N_004,축구광,L_04,"TV 소리를 크게 틀어놓고, 침을 튀겨가며 시끄럽게 운동선수 욕을 한다",
N_005,마이너한 락밴드,L_05,"아파트를 연습실로 쓰는 3인 밴드. 기타(보컬), 베이스, 드럼",
N_006,농구하는 10대,L_06,집에서 뛰어다니며 농구공을 튀긴다.,
N_007,조용한 이웃,L_07,소음을 발생시키지 않는 조용한 이웃이다.,
N_008,보청기가 없는 할아버지,L_08,라디오를 굉장히 큰 소리로 틀어놓고 잔다.,
N_009,마음만은 성악가,L_09,연미복을 입고 매일 노래를 부르지만 음치다.,
N_010,여자친구랑 헤어진 청년,L_10,종일 작은 소리로 울면서 전 여자친구의 이름을 부른다.,
N_011,장난감 기차를 타는 꼬마,L_11,집 안에서 장난감 기차를 타고 돌아다닌다.,
N_012,재능없는 피아니스트,L_12,피아노 곡을 반복해서 연습함,
N_013,파티 피플 집주인,L_13,집 안에 파티장을 차렸다. 여섯 명이나 되는 사람들이 모여서 춤을 춘다.,
N_014,청소 매니아,L_14,"온 집안을 청소하며 물건들을 옮기고, 청소기를 돌린다.",
N_015,케르베로스,L_15,"소형견을 세 마리나 키운다. 개들은 계속 짖고, 사람이 지나가면 반응한다.",
N_016,다이어터,L_16,육중한 몸으로 밤마다 런닝머신을 달린다.,
N_017,틱톡 챌린지 자매,L_17,핸드폰을 세워놓고 틱톡 챌린지를 촬영한다. 같은 음악을 반복해서 튼다.,
N_018,마감이 급한 작가,L_18,"평소에는 조용하지만 해당 층의 전기가 끊겼을 경우, 고함을 지르며 복도를 돌아다님",
N_019,사이비 무당,L_19,"집 안에서 굿을 한다. 방울을 흔들고, 북을 치고, 징을 두드린다.",
N_020,인테리어 업자,L_20,"집 안에서 전기 톱을 돌리고, 드릴로 구멍을 뚫고, 난리가 났다.",
N_021,오토바이 폭주족,L_21,경우에 따라 아파트 앞 도로에서 오토바이를 타고 폭주한다.,
N_022,코인 채굴장 주인,L_22,방 안에 코인 채굴장을 만들어서 공업용 팬을 돌린다
